rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
35,Tigers Tübingen,Bundesligen,Bundesligen,2,2. Bundesliga (ProA),Herren ProA,55811,17,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
36,VfL SparkassenStars Bochum,Bundesligen,Bundesligen,2,2. Bundesliga (ProA),Herren ProA,55811,18,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
37,ART Giants Düsseldorf,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
38,Ahorn Camp Baskets,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
39,BBA Hagen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
40,BBC Coburg,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
41,BG Hessing Leitershofen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
42,BSW Sixers,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
43,Basketball Löwen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
44,Baskets Juniors TSG Westerstede,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,4,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
45,Bayer Giants Leverkusen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
46,CATL Basketball Löwen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
47,Culture City Weimar,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
48,Dragons Rhöndorf,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
49,Dresden Titans,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
50,EN BASKETS Schwelm,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,5,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
51,FC Bayern Basketball II,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
52,Hertener Löwen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,6,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
53,Iserlohn Kangaroos,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,7,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
54,Itzehoe Eagles,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,8,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
55,LOK BERNAU,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,9,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
56,Porsche BBA Ludwigsburg,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
57,SC Rist Wedel,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,10,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
58,SG Braunschweig,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,11,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
59,SKYLINERS Juniors,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
60,SV Fellbach Flashers,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,13,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
61,Seawolves Academy,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,12,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
62,TSG Schöller SI Ravens Reutlingen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,14,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
63,TSG Solcom Ravens Reutlingen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,15,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
64,TSV Neustadt temps Shooters,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,13,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
65,TSV Oberhaching Tropics,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,16,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
66,TV Langen,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Süd,55817,17,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
67,Uni Baskets Münster,Bundesligen,Bundesligen,3,2. Bundesliga (ProB),Herren ProB Nord,55815,14,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
68,ACCENT BASKETS Salzkotten,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,1,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
69,BBG Herford,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,2,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
70,BG TVO / TV Jahn,Nordrhein-Westfalen,Nordrhein-Westfalen,4,1.Regionalliga,1.Regionalliga Herren (1RLH),54569,3,0,0,0,0,0,0,0,0,0.0,,basketball-bund.net
