rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
35,TSV Bonn rrh. 1. Frauen,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,9,0,0,0,0,0,0,0,0,0.0,,handball.net
36,TSV Hahlen 1945 e.V.,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12650,11,0,0,0,0,0,0,0,0,0.0,,handball.net
37,TUS Brockhagen,Handballverband Westfalen,Handballverband Westfalen,4,Regionalliga,HVW Frauen Regionalliga,12650,12,0,0,0,0,0,0,0,0,0.0,,handball.net
38,TV Aldekerk II,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,10,0,0,0,0,0,0,0,0,0.0,,handball.net
39,TV Bodenheim 1,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,7,0,0,0,0,0,0,0,0,0.0,,handball.net
40,Turnverein Biefang,Handball Nordrhein,Handball Nordrhein,4,Regionalliga,Regionalliga Frauen,12903,11,0,0,0,0,0,0,0,0,0.0,,handball.net
41,Lauenburger SV,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,11,1,0,0,1,32,33,-1,0,0.0,,handball.net
42,HF Untere SAAR 1,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,8,1,0,0,1,22,23,-1,0,0.0,,handball.net
43,TSV Bargteheide,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,12,1,0,0,1,23,26,-3,0,0.0,,handball.net
44,SF Budenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,9,1,0,0,1,22,29,-7,0,0.0,,handball.net
45,TV Welling,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,10,1,0,0,1,21,28,-7,0,0.0,,handball.net
46,TSG MZ-Bretzenheim,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,11,1,0,0,1,27,35,-8,0,0.0,,handball.net
47,Südpfalz Tiger,REGIONALLIGA SüDWEST,REGIONALLIGA SüDWEST,4,Regionalliga,RLSW-W,13249,12,1,0,0,1,25,34,-9,0,0.0,,handball.net
48,SC Alstertal-Langenhorn,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,13,1,0,0,1,21,31,-10,0,0.0,,handball.net
49,SG Altona,Handballregion-Nord,Handballregion-Nord,4,Regionalliga,Meisterrunde,13541,14,1,0,0,1,16,32,-16,0,0.0,,handball.net
50,VTV Mundenheim 2,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,2,1,1,0,0,23,17,6,2,2.0,,handball.net
51,ATSV Stockelsdorf II,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,2,1,1,0,0,32,30,2,2,2.0,,handball.net
52,HSG TV Birkenfeld/Nohfelden-Tus Schwarzenbach,Handballverband SAAR,Handballverband SAAR,5,Oberliga,Oberliga Frauen,13012,1,1,1,0,0,32,31,1,2,2.0,,handball.net
53,HSG Holstein Kiel/Kronshagen,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,1,2,1,0,1,57,48,9,2,1.0,,handball.net
54,HSG Lingenfeld/Schwegenheim,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,1,2,1,0,1,62,56,6,2,1.0,,handball.net
55,HC TV Rhede,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,1,1,0,1,0,0,0,0,1,1.0,,handball.net
56,TUS Lintfort II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 1,12910,2,1,0,1,0,0,0,0,1,1.0,,handball.net
57,TG Osthofen,Handballverband Rheinhessen-Pfalz,Handballverband Rheinhessen-Pfalz,5,Oberliga,F-OL,12404,3,2,1,0,1,44,49,-5,2,1.0,,handball.net
58,ASC 09 Dortmund II,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,1,0,0,0,0,0,0,0,0,0.0,,handball.net
59,ATV Biesel,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,1,0,0,0,0,0,0,0,0,0.0,,handball.net
60,BHC Juniorinnen II,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,2,0,0,0,0,0,0,0,0,0.0,,handball.net
61,BSV Limbach-O.,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,1,0,0,0,0,0,0,0,0,0.0,,handball.net
62,BSV Sa. Zwickau II,Handballverband Sachsen,Handballverband Sachsen,5,Oberliga,OLS Frauen,12543,2,0,0,0,0,0,0,0,0,0.0,,handball.net
63,BTB Aachen,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 3,12909,1,0,0,0,0,0,0,0,0,0.0,,handball.net
64,Bergische Panther,Handball Nordrhein,Handball Nordrhein,5,Oberliga,Oberliga Frauen Gr. 2,12908,3,0,0,0,0,0,0,0,0,0.0,,handball.net
65,DIE HAIE I HSG Horst/Kiebitzreihe,Handballverband Schleswig-Holstein,Handballverband Schleswig-Holstein,5,Oberliga,Meisterrunde · Handballverband Schleswig-Holstein,14062,3,0,0,0,0,0,0,0,0,0.0,,handball.net
66,DJK Eintracht Coesfeld e.V.,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,2,0,0,0,0,0,0,0,0,0.0,,handball.net
67,DJK Oespel-Kley Frauen 1,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,3,0,0,0,0,0,0,0,0,0.0,,handball.net
68,DJK SG Bösperde,Handballverband Westfalen,Handballverband Westfalen,5,Oberliga,HVW Frauen Oberliga Staffel 2,12652,4,0,0,0,0,0,0,0,0,0.0,,handball.net
