rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
1821,SG Schamerloh/Lavelsloh,Niedersachsen,Kreis Nienburg,7,Kreisliga,Frauen Kreisliga Nienburg,031EFISAMK000006VS5489BUVUR5FS5A-G,2,2,2,0,0,7,0,7,6,3.0,,fussball.de
1822,SV Carum,Niedersachsen,Kreis Vechta,7,Kreisliga,Kreisliga Vechta CLP OL-Land - VEC,031835JM6C000004VS5489BUVSBBVPEU-G,1,3,3,0,0,13,3,10,9,3.0,,fussball.de
1823,TSV Hertingshausen,Hessen,Region Kassel,7,Oberliga (Region),FKOL KS · Region Kassel,031HSVVFR400000BVS5489BUVVKNMR0J-G,2,3,3,0,0,12,2,10,9,3.0,,fussball.de
1824,SC Preußen Lengerich,Westfalen,Kreis Steinfurt,7,Kreisliga A,Kreisliga A Steinfurt - Tecklenburg,031HMP0DSO000004VS5489BUVVKNMR0J-G,1,3,3,0,0,11,1,10,9,3.0,,fussball.de
1825,SuS Enniger,Westfalen,Kreis Beckum,7,Kreisliga A,Frauen Kreisliga A Beckum-Gütersloh,031AROBD8G000004VS5489BTVSK8S3O6-G,2,1,1,0,0,7,4,3,3,3.0,,fussball.de
1826,SV Wilhelmsburg 1.Fr.,Hamburg,Kreisebene Hamburg,7,Kreisliga,FKL 02 · Kreisebene Hamburg,0314CF1BV000000FVS5489BTVU7GTVLE-G,6,1,1,0,0,6,3,3,3,3.0,,fussball.de
1827,SV Germania Helstorf,Niedersachsen,Kreis Region Hannover,7,Kreisliga,Frauen Kreisliga Staffel 2 · Kreis Region Hannover,03154LACNG00000AVS5489BUVSBBVPEU-G,1,3,3,0,0,17,8,9,9,3.0,,fussball.de
1828,MTV Soltau,Niedersachsen,Kreis Rotenburg,7,Kreisliga,Frauen Kreisliga Rotenburg,03181DLOQO000005VS5489BTVU7GTVLE-G,1,2,2,0,0,11,5,6,6,3.0,,fussball.de
1829,SG Weixdorf,Sachsen,Kreis Westlausitz,7,1.Kreisliga (A),Kreisliga Westlausitz,031DCEHODS000004VS5489BUVUR5FS5A-G,5,1,1,0,0,5,2,3,3,3.0,,fussball.de
1830,TUS Hinte Damen,Niedersachsen,Kreis Ostfriesland,7,Kreisliga,Ostfrieslandliga,031CO452U8000004VS5489BUVUR5FS5A-G,5,1,1,0,0,5,2,3,3,3.0,,fussball.de
1831,SV Fortuna Seppenrade,Westfalen,Kreis Ahaus-Coesfeld,7,Kreisliga A,Frauen Kreisliga A Ahaus-Coesfeld,031LOM6FKC000002VS5489BTVSRD0UH9-G,3,3,3,0,0,14,5,9,9,3.0,,fussball.de
1832,(SG) TuS Dachelhofen / SV Haselbach / DJK Ensdorf,Bayern,Bezirk Oberpfalz,7,Bezirksliga,Frauen BZL Nord · Bezirk Oberpfalz,0316VDSGSK000006VS5489BTVU7GTVLE-G,2,1,1,0,0,4,1,3,3,3.0,,fussball.de
1833,SG Hackenberg,Niederrhein,Kreis Wuppertal-Niederberg,7,Kreisliga A,Frauen-Kreisliga Gruppe 2 · Kreis Wuppertal-Niederberg,031G0E5QFS000004VS5489BUVSJ4CRAP-G,3,1,1,0,0,4,1,3,3,3.0,,fussball.de
1834,SV Coburg-Ketschendorf,Bayern,Bezirk Oberfranken,7,Bezirksliga,Frauen BZL West · Bezirk Oberfranken,031DR3UO7K000006VS5489BTVUS470OH-G,2,2,2,0,0,8,2,6,6,3.0,,fussball.de
1835,SpVgg Joshofen Bergheim,Bayern,Bezirk Schwaben,7,Bezirksliga,Frauen BZL Nord · Bezirk Schwaben,031BE7174G000007VS5489BUVUR5FS5A-G,2,1,1,0,0,4,1,3,3,3.0,,fussball.de
1836,FC Land Wursten (7er),Niedersachsen,Kreis Cuxhaven,7,Kreisliga,Frauen Kreisliga · Kreis Cuxhaven,03153PKDB0000008VS5489BUVSBBVPEU-G,1,4,4,0,0,15,3,12,12,3.0,,fussball.de
1837,TuS Querenburg,Westfalen,Kreis Bochum,7,Kreisliga A,Frauen Kreisliga A Bochum,0319THQ5EO000004VS5489BUVV628VP4-G,1,3,3,0,0,11,2,9,9,3.0,,fussball.de
1838,Mülheimer SV 07,Niederrhein,Kreis Oberhausen-Bottrop,7,Kreisliga A,Frauen-Kreisliga Gruppe 4 · Kreis Oberhausen-Bottrop,031G0GMSC0000008VS5489BUVSJ4CRAP-G,3,2,2,0,0,7,1,6,6,3.0,,fussball.de
1839,SG Fürstenberg/Alme,Westfalen,Kreis Paderborn,7,Kreisliga A,Frauen Kreisliga A PB/DT/HX · Kreis Paderborn,031I8CLV30000004VS5489BTVSRD0UH9-G,5,2,2,0,0,7,1,6,6,3.0,,fussball.de
1840,Sportfreunde Anderten,Niedersachsen,Kreis Region Hannover,7,Kreisliga,Frauen Kreisliga Staffel 2 · Kreis Region Hannover,03154LACNG00000AVS5489BUVSBBVPEU-G,2,3,3,0,0,10,1,9,9,3.0,,fussball.de
1841,SG Woltersdorf/Dannenberg,Niedersachsen,Kreis Heide-Wendland,7,Kreisliga,Frauenkreisliga · Kreis Heide-Wendland,031A9HJLUO000004VS5489BTVSK8S3O6-G,1,4,4,0,0,13,1,12,12,3.0,,fussball.de
