staffel_id,verband,gebiet,ligastufe,spielklasse,staffel,mannschaften,spiele_gesamt,tore_gesamt,punkte_gesamt,tabellenfuehrer,tabellenfuehrer_punkte,quelle
0319LIUD90000005VS5489BUVV628VP4-G,Bayern,Bayern,5,Landesliga,Frauen Landesliga Süd · Bayern,12,12,42,35,SC Amicitia München,6,fussball.de
0317AJEGF800000JVS5489BUVSBBVPEU-G,Berlin,Berlin,5,Landesliga,Frauen Landesliga · Berlin,13,10,61,26,SFC Stern 1900 II,6,fussball.de
031DE495N0000003VS5489BTVUS470OH-G,Brandenburg,Brandenburg,5,Landesklasse,Landesklasse Ost · Brandenburg,6,3,15,9,MSV Zossen 07,3,fussball.de
031DE2C0NO000003VS5489BTVUS470OH-G,Brandenburg,Brandenburg,5,Landesklasse,Landesklasse West · Brandenburg,6,3,20,8,FSV Forst Borgsdorf I,3,fussball.de
031FAQL8I000000AVS5489BTVUS470OH-G,Bremen,Bremen,5,Landesliga,Landesliga - Hauptrunde · Bremen,8,7,29,19,TUS Schwachhausen,6,fussball.de
0314C6O8LC00000FVS5489BTVU7GTVLE-G,Hamburg,Hamburg,5,Landesliga,FLL Landesliga Frauen · Hamburg,12,17,85,49,UH-Adler 1.Fr.,9,fussball.de
031CO20PGG00000FVS5489BTVUS470OH-G,Hessen,Hessen,5,Verbandsliga,Frauen VL Gr.Nord · Hessen,13,20,89,59,TSV Obermelsungen,12,fussball.de
031CO20P7C00000DVS5489BTVUS470OH-G,Hessen,Hessen,5,Verbandsliga,Frauen VL Gr.Süd · Hessen,12,16,79,46,FSG Schwalbach/Niederhöchstadt,12,fussball.de
031A8QCF10000008VS5489BTVSK8S3O6-G,Mecklenburg-Vorpommern,Kreis Schwerin-Nordwestmeckl.,5,Kreisoberliga,Frauen Kreisoberliga · Kreis Schwerin-Nordwestmeckl.,10,9,85,25,PSV Röbel-Müritz,6,fussball.de
031JQ4GAP4000003VS5489BUVVKNMR0J-G,Mecklenburg-Vorpommern,Kreis Vorpommern-Greifswald,5,Kreisoberliga,Kreisoberliga Frauen · Kreis Vorpommern-Greifswald,8,0,0,0,1. FC Neubrandenburg 04 II,0,fussball.de
031AHIGF8G000008VS5489BUVV628VP4-G,Mecklenburg-Vorpommern,Kreis Warnow,5,Kreisoberliga,Frauen KFV Warnow KOL,7,0,0,0,Doberaner FC,0,fussball.de
031DHDD1L0000002VS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,5,Landesliga,"Frauen-Landesliga, Staffel 1 · Mittelrhein",12,0,0,0,Bonner SC 01/04 e.V.,0,fussball.de
031DHDD1QC000002VS5489BUVUR5FS5A-G,Mittelrhein,Mittelrhein,5,Landesliga,"Frauen-Landesliga, Staffel 2 · Mittelrhein",12,0,0,0,Bedburger BV,0,fussball.de
031EEUBQEO00000JVS5489BUVUR5FS5A-G,Niederrhein,Niederrhein,5,Landesliga,Landesliga Gruppe 1 · Niederrhein,14,12,48,34,DJK Arminia Klosterhardt,6,fussball.de
031EEUBQO400000KVS5489BUVUR5FS5A-G,Niederrhein,Niederrhein,5,Landesliga,Landesliga Gruppe 2 · Niederrhein,14,12,43,34,MSV Duisburg II. U23,6,fussball.de
031AHIK0EC000009VS5489BUVV628VP4-G,Niedersachsen,Bezirk Braunschweig,5,Landesliga,Frauen Landesliga Braunschweig,10,10,54,29,VfL Wahrenholz,6,fussball.de
031DQ9GU3O000005VS5489BTVUS470OH-G,Niedersachsen,Bezirk Hannover,5,Landesliga,Frauen Landesliga Hannover,12,12,51,32,TSV Limmer II,6,fussball.de
0316TBGAE8000008VS5489BTVU7GTVLE-G,Niedersachsen,Bezirk Lüneburg,5,Landesliga,Frauen Landesliga Lüneburg,13,16,60,45,SV Eintracht Lüneburg,9,fussball.de
0318B33UGK00000CVS5489BTVU7GTVLE-G,Niedersachsen,Bezirk Weser-Ems,5,Landesliga,Frauen Landesliga Weser-Ems,13,18,75,53,SV Olympia Uelsen,9,fussball.de
031E53PO4G000004VS5489BTVUS470OH-G,Rheinland,Bezirk Rheinland,5,Bezirksliga,Bezirksliga 1 Frauen · Bezirk Rheinland,10,14,68,39,FC Rot-Weiß Koblenz,7,fussball.de
031E5433VC000005VS5489BTVUS470OH-G,Rheinland,Bezirk Rheinland,5,Bezirksliga,Bezirksliga 2 Frauen · Bezirk Rheinland,10,14,88,39,DJK Watzerath,7,fussball.de
031BSNK0K0000005VS5489BTVUS470OH-G,Saarland,Saarland,5,Landesliga,Landesliga · Saarland,11,8,53,24,SV Göttelborn,6,fussball.de
031DBKN7HK000004VS5489BTVUS470OH-G,Sachsen,Sachsen,5,Landesklasse,Sachsenklasse Frauen Nord,12,11,73,30,BSV Schönau 1983,6,fussball.de
031DBKCDVK000004VS5489BTVUS470OH-G,Sachsen,Sachsen,5,Landesklasse,Sachsenklasse Frauen Ost,10,10,48,29,NFV Gelb-Weiß Görlitz 09,6,fussball.de
031DBL3A1G000004VS5489BTVUS470OH-G,Sachsen,Sachsen,5,Landesklasse,Sachsenklasse Frauen Süd/West,11,9,42,27,ESV Eintracht Thum-Herold,6,fussball.de
030BNDVH1C000000VS5489BTVTJUP7HP-G,Sachsen-Anhalt,Sachsen-Anhalt,5,Landesliga,Landesliga Nord · Sachsen-Anhalt,7,4,34,12,SC 1919 Heudeber (flex),3,fussball.de
030BNE372O000003VS5489BTVTJUP7HP-G,Sachsen-Anhalt,Sachsen-Anhalt,5,Landesliga,Landesliga Süd · Sachsen-Anhalt,6,4,14,12,Hallescher FC 2,6,fussball.de
0311JA61C4000007VS5489BUVVARDA0V-G,Schleswig-Holstein,Schleswig-Holstein,5,Landesliga,Landesliga Holstein · Schleswig-Holstein,12,16,73,48,SV Boostedt,9,fussball.de
0311JA6138000007VS5489BUVVARDA0V-G,Schleswig-Holstein,Schleswig-Holstein,5,Landesliga,Landesliga Schleswig · Schleswig-Holstein,11,14,79,40,TSB Flensburg,9,fussball.de
031A6I5C58000005VS5489BUVV628VP4-G,Südbaden,Südbaden,5,Landesliga,Landesliga Frauen Staffel 1 · Südbaden,12,0,0,0,Alem. Freiburg-Zähringen 2,0,fussball.de
031A6I5CE000000FVS5489BUVV628VP4-G,Südbaden,Südbaden,5,Landesliga,Landesliga Frauen Staffel 2 · Südbaden,11,0,0,0,FC Wittlingen,0,fussball.de
031B53B82C000004VS5489BUVV628VP4-G,Südwest,Südwest,5,Landesliga,Frauen Landesliga Nord · Südwest,12,14,46,40,1. FC Nackenheim,9,fussball.de
031CH7VJNG000004VS5489BTVUS470OH-G,Südwest,Südwest,5,Landesliga,Frauen Landesliga Süd · Südwest,13,18,111,53,FC Phönix 21 Bellheim,9,fussball.de
031CDUVGJO000007VS5489BUVUR5FS5A-G,Südwest,Südwest,5,Landesliga,Frauen Landesliga West · Südwest,11,12,54,34,VfR Baumholder,9,fussball.de
031DS4P7V8000007VS5489BUVUR5FS5A-G,Thüringen,Kreis Erfurt-Sömmerda,5,Kreisoberliga,Frauen KOL St.1 · Kreis Erfurt-Sömmerda,7,4,15,12,SV Frohndorf/Orlishausen,3,fussball.de
031DS5KIMK000004VS5489BUVUR5FS5A-G,Thüringen,Kreis Erfurt-Sömmerda,5,Kreisoberliga,Frauen KOL St.2 · Kreis Erfurt-Sömmerda,6,3,32,9,SG FSV Einheit Eisenberg,3,fussball.de
0319T83L38000006VS5489BTVSK8S3O6-G,Thüringen,Kreis Nordthüringen,5,Kreisoberliga,Teamsport NDH Kreisoberliga · Kreis Nordthüringen,7,5,39,15,FSV Wacker 90 Nordhausen,6,fussball.de
031DHN14CS000006VS5489BUVUR5FS5A-G,Thüringen,Kreis Rhön-Rennsteig,5,Kreisoberliga,Frauen Kreisoberliga Staffel Süd · Kreis Rhön-Rennsteig,7,0,0,0,1. SC Phönix am Rennsteig,0,fussball.de
