rang_bundesweit,verein,verband,gebiet,ligastufe,spielklasse,staffel,staffel_id,platz_in_staffel,spiele,siege,unentschieden,niederlagen,tore,gegentore,tordifferenz,punkte,punkte_pro_spiel,rangaenderung_vorwoche,quelle
37,HSG Krefeld Niederrhein,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,1,3,3,0,0,117,84,33,6,2.0,,handball.net
38,VFL Pfullingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,1,3,3,0,0,111,86,25,6,2.0,,handball.net
39,TUS Spenge,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,1,3,3,0,0,104,82,22,6,2.0,,handball.net
40,TSV Altenholz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,1,3,3,0,0,106,87,19,6,2.0,,handball.net
41,EHV AUE,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,2,3,3,0,0,96,77,19,6,2.0,,handball.net
42,Saase3 Leutershausen Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,2,3,3,0,0,98,82,16,6,2.0,,handball.net
43,SV Salamander Kornwestheim,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,2,3,3,0,0,111,99,12,6,2.0,,handball.net
44,TSG A-H Bielefeld,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,2,3,3,0,0,93,83,10,6,2.0,,handball.net
45,SV 04 Plauen-Oberlosa,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,3,3,3,0,0,94,85,9,6,2.0,,handball.net
46,Wölfe Würzburg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,9,1,1,0,0,26,23,3,2,2.0,,handball.net
47,TSV NEUHAUSEN/Filder,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,3,3,3,0,0,105,97,8,6,2.0,,handball.net
48,MTV Braunschweig,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,4,3,3,0,0,98,93,5,6,2.0,,handball.net
49,TV Gelnhausen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,3,3,2,1,0,91,74,17,5,1.67,,handball.net
50,HG Saarlouis,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,4,3,2,1,0,85,78,7,5,1.67,,handball.net
51,TSG Münster,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,5,3,2,1,0,85,82,3,5,1.67,,handball.net
52,VFL Eintracht Hagen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,3,3,2,0,1,119,93,26,4,1.33,,handball.net
53,HC Empor Rostock,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,5,3,2,0,1,97,84,13,4,1.33,,handball.net
54,HC Erlangen II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,4,3,2,0,1,112,101,11,4,1.33,,handball.net
55,FÜCHSE BERLIN Reinickendorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,6,3,2,0,1,86,77,9,4,1.33,,handball.net
56,TuS Vinnhorst,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,4,3,2,0,1,110,102,8,4,1.33,,handball.net
57,Interaktiv.Handball,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,6,3,2,0,1,106,99,7,4,1.33,,handball.net
58,VFL Fredenbeck,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,5,3,2,0,1,83,76,7,4,1.33,,handball.net
59,SC Magdeburg II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,7,3,2,0,1,104,98,6,4,1.33,,handball.net
60,HC Oppenweiler/Backnang,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,5,3,2,0,1,97,93,4,4,1.33,,handball.net
61,ESG Gensungen/Felsberg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,6,3,2,0,1,97,96,1,4,1.33,,handball.net
62,Team HandbALL Lippe II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,7,3,2,0,1,96,95,1,4,1.33,,handball.net
63,HLZ Friesenheim/Hochdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,7,3,2,0,1,87,87,0,4,1.33,,handball.net
64,TSV Anderten,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-West,14053,8,3,2,0,1,98,101,-3,4,1.33,,handball.net
65,SG Pforzheim/Eutingen,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,6,3,1,1,1,92,81,11,3,1.0,,handball.net
66,HBW Balingen-Weilstetten II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,7,3,1,1,1,92,88,4,3,1.0,,handball.net
67,DHK Flensborg,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,8,3,1,1,1,80,78,2,3,1.0,,handball.net
68,TSV Burgdorf II,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Nord-Ost,14054,9,3,1,1,1,88,87,1,3,1.0,,handball.net
69,HSG Rodgau Nieder-Roden,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd-West,14055,8,3,1,1,1,84,86,-2,3,1.0,,handball.net
70,HSG Konstanz,Deutscher Handballbund,Deutscher Handballbund,3,3. Liga,Süd,14056,10,2,1,0,1,62,64,-2,2,1.0,,handball.net
